aom 3.12.1
svt-av1 3.0.2
switchaudio-osx 1.2.2
tanka 0.32.0
terminal-notifier 2.0.0
terraform 1.5.7
tesseract 5.5.0_1
tflint 0.58.0
the_silver_searcher 2.2.0
theora 1.1.1
tmux 3.5a
tre 0.9.0
tree 2.2.1
tree-sitter 0.25.4 0.25.3
uchardet 0.0.8
unbound 1.23.0
unibilium 2.1.2
usage 2.1.1
utf8proc 2.10.0
uv 0.7.8
vim 9.1.1400
watch 4.0.5
webp 1.5.0
wget 1.25.0
x264 r3108
x265 4.1
xorgproto 2024.1
xpdf 4.05
xvid 1.3.7
xxhash 0.8.3
xz 5.8.1
yarn 1.22.22
yq 4.45.4
z3 4.15.0
zeromq 4.3.5_1
zimg 3.0.5
zlib 1.3.1
zsh 5.9
zsh-fast-syntax-highlighting 1.55
zstd 1.5.7
1password-cli 2.31.0
aws-vault 7.2.0
font-codicon 0.0.36
font-fira-code-nerd-font 3.4.0
font-hack-nerd-font 3.4.0
font-meslo-lg-nerd-font 3.4.0
font-source-sans-3 latest
ghostty 1.1.3
google-cloud-sdk 521.0.0
neovide 0.15.0
orbstack 1.10.3,19083
